"","Date","Open","High","Low","Close","Volume"
"1",1914-03-01,22.95,22.95,22.95,22.95,NA
"2",1914-06-01,22.95,22.95,22.95,22.95,NA
"3",1914-09-01,22.95,22.95,21.12,21.12,NA
"4",1914-12-01,21.12,21.12,21.12,21.12,NA
"5",1915-03-01,21.12,22.08,21.12,22.08,NA
"6",1915-06-01,22.08,22.08,22.08,22.08,NA
"7",1915-09-01,22.08,32.1,22.08,32.1,NA
"8",1915-12-01,32.1,32.1,32.1,32.1,NA
"9",1916-03-01,32.1,33.26,32.1,33.26,NA
"10",1916-06-01,33.26,33.26,32.72,32.72,NA
"11",1916-09-01,32.72,49.01,32.72,49.01,NA
"12",1916-12-01,49.01,49.01,41.61,41.61,NA
"13",1917-03-01,41.61,41.61,41.25,41.25,NA
"14",1917-06-01,41.25,41.25,40.2,40.2,NA
"15",1917-09-01,40.2,51.93,40.2,51.93,NA
"16",1917-12-01,51.93,51.93,41.4,41.4,NA
"17",1918-03-01,41.4,43.75,41.4,43.75,NA
"18",1918-06-01,43.75,44.1,43.75,44.1,NA
"19",1918-09-01,44.1,44.1,40.84,40.84,NA
"20",1918-12-01,40.84,42.21,40.84,42.21,NA
"21",1919-03-01,42.21,42.21,40.9,40.9,NA
"22",1919-06-01,40.9,40.9,39.89,39.89,NA
"23",1919-09-01,39.89,56.09,39.89,56.09,NA
"24",1919-12-01,56.09,56.09,53.63,53.63,NA
"25",1920-03-01,53.63,57.58,53.63,57.58,NA
"26",1920-06-01,57.58,57.58,57.58,57.58,NA
"27",1920-09-01,57.58,57.58,25.96,25.96,NA
"28",1920-12-01,25.96,27.44,25.96,27.44,NA
"29",1921-03-01,27.44,28.98,27.44,28.98,NA
"30",1921-06-01,28.98,31.77,28.98,31.77,NA
"31",1921-09-01,31.77,31.77,28.88,28.88,NA
"32",1921-12-01,28.88,28.88,28.88,28.88,NA
"33",1922-03-01,28.88,30.3,28.88,30.3,NA
"34",1922-06-01,30.3,30.3,30.3,30.3,NA
"35",1922-09-01,30.3,30.3,23.22,23.22,NA
"36",1922-12-01,23.22,23.97,23.22,23.97,NA
"37",1923-03-01,23.97,25.96,23.97,25.96,NA
"38",1923-06-01,25.96,27.36,25.96,27.36,NA
"39",1923-09-01,27.36,27.36,22.83,22.83,NA
"40",1923-12-01,22.83,22.83,22.83,22.83,NA
"41",1924-03-01,22.83,24.08,22.83,24.08,NA
"42",1924-06-01,24.08,24.08,21.22,21.22,NA
"43",1924-09-01,21.22,24.45,21.22,24.45,NA
"44",1924-12-01,24.45,24.45,24.45,24.45,NA
"45",1925-03-01,24.45,25.11,24.45,25.11,NA
"46",1925-06-01,25.11,25.11,24.54,24.54,NA
"47",1925-09-01,24.54,27.96,24.54,27.96,NA
"48",1925-12-01,27.96,27.96,27.96,27.96,NA
"49",1926-03-01,27.96,29.19,27.96,29.19,NA
"50",1926-06-01,29.19,29.97,29.19,29.97,NA
"51",1926-09-01,29.97,29.97,27.25,27.25,NA
"52",1926-12-01,27.25,27.25,27.25,27.25,NA
"53",1927-03-01,27.25,28.3,27.25,28.3,NA
"54",1927-06-01,28.3,29,28.3,29,NA
"55",1927-09-01,29,29,24.82,24.82,NA
"56",1927-12-01,24.82,25.82,24.82,25.82,NA
"57",1928-03-01,25.82,26.13,25.82,26.13,NA
"58",1928-06-01,26.13,27.54,26.13,27.54,NA
"59",1928-09-01,27.54,27.54,25.65,25.65,NA
"60",1928-12-01,25.65,25.65,25.65,25.65,NA
"61",1929-03-01,25.65,25.96,25.65,25.96,NA
"62",1929-06-01,25.96,26.69,25.96,26.69,NA
"63",1929-09-01,26.69,26.69,21.32,21.32,NA
"64",1929-12-01,21.32,21.32,21.32,21.32,NA
"65",1930-03-01,21.32,21.32,21.15,21.15,NA
"66",1930-06-01,21.15,21.51,21.15,21.51,NA
"67",1930-09-01,21.51,21.51,15.1,15.1,NA
"68",1930-12-01,15.1,16.82,15.1,16.82,NA
"69",1931-03-01,16.82,16.82,16.66,16.66,NA
"70",1931-06-01,16.66,17.89,16.66,17.89,NA
"71",1931-09-01,17.89,17.89,15,15,NA
"72",1931-12-01,15,16.28,15,16.28,NA
"73",1932-03-01,16.28,20.47,16.28,20.47,NA
"74",1932-06-01,20.47,20.47,17.82,17.82,NA
"75",1932-09-01,17.82,30.33,17.82,30.33,NA
"76",1932-12-01,30.33,30.33,30.33,30.33,NA
"77",1933-03-01,30.33,31.28,30.33,31.28,NA
"78",1933-06-01,31.28,31.28,28.84,28.84,NA
"79",1933-09-01,28.84,34.25,28.84,34.25,NA
"80",1933-12-01,34.25,34.25,34.12,34.12,NA
"81",1934-03-01,34.12,35.71,34.12,35.71,NA
"82",1934-06-01,35.71,36.86,35.71,36.86,NA
"83",1934-09-01,36.86,36.86,32.3,32.3,NA
"84",1934-12-01,32.3,32.3,32.3,32.3,NA
"85",1935-03-01,32.3,32.3,32.21,32.21,NA
"86",1935-06-01,32.21,32.21,30.88,30.88,NA
"87",1935-09-01,30.88,33.76,30.88,33.76,NA
"88",1935-12-01,33.76,33.76,33.76,33.76,NA
"89",1936-03-01,33.76,34.58,33.76,34.58,NA
"90",1936-06-01,34.58,34.58,33.43,33.43,NA
"91",1936-09-01,33.43,35.94,33.43,35.94,NA
"92",1936-12-01,35.94,35.94,35.94,35.94,NA
"93",1937-03-01,35.94,36.9,35.94,36.9,NA
"94",1937-06-01,36.9,36.9,34.85,34.85,NA
"95",1937-09-01,34.85,40.5,34.85,40.5,NA
"96",1937-12-01,40.5,40.5,37.33,37.33,NA
"97",1938-03-01,37.33,38.25,37.33,38.25,NA
"98",1938-06-01,38.25,38.28,38.25,38.28,NA
"99",1938-09-01,38.28,38.28,33.16,33.16,NA
"100",1938-12-01,33.16,33.66,33.16,33.66,NA
"101",1939-03-01,33.66,34.98,33.66,34.98,NA
